id,bg_name,year,popularity,best_for,weigth
122,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,18972,2.0,2.67
123,Res Arcana,2019,15432,2.0,2.61
124,Kemet,2012,17534,5.0,3.0
125,Vinhos Deluxe Edition,2016,5199,4.0,4.06
126,Endeavor: Age of Sail,2018,7599,4.0,2.81
127,Age of Steam,2002,9648,4.0,3.9
128,Alchemists,2014,20090,4.0,3.91
129,Targi,2012,18061,2.0,2.35
130,Star Realms,2014,39512,2.0,1.94
131,Watergate,2019,7774,2.0,2.26
132,Legendary Encounters: An Alien Deck Building Game,2014,12190,3.0,2.7
133,Stone Age,2008,48117,4.0,2.47
134,Star Wars: X-Wing Miniatures Game,2012,23968,2.0,2.49
135,It's a Wonderful World,2019,11104,4.0,2.3
136,Hansa Teutonica,2009,13016,5.0,3.11
137,Ticket to Ride: Europe,2005,65151,4.0,1.93
138,Welcome To...,2018,23135,4.0,1.83
139,Istanbul,2014,27761,4.0,2.59
140,The Lord of the Rings: The Card Game,2011,22338,2.0,3.19
141,Azul: Summer Pavilion,2019,10943,3.0,2.04
142,That's Pretty Clever!,2018,18542,2.0,1.88
143,The Quest for El Dorado,2017,16698,2.0,1.93
144,Just One,2018,17365,7.0,1.05
145,Descent: Journeys in the Dark (Second Edition),2012,23936,5.0,3.21
146,Chaos in the Old World,2009,14806,4.0,3.2
147,War of the Ring,2004,10241,2.0,3.84
148,Obsession,2018,3907,2.0,3.16
149,Rajas of the Ganges,2017,10949,4.0,2.89
150,Concordia Venus,2018,3617,4.0,3.06
151,Xia: Legends of a Drift System,2014,8492,3.0,3.18
152,Marco Polo II: In the Service of the Khan,2019,5117,3.0,3.38
153,Jaipur,2009,42699,2.0,1.48
154,The Search for Planet X,2020,4586,3.0,2.34
155,Praga Caput Regni,2020,5144,3.0,3.74
156,Memoir '44,2004,27277,2.0,2.27
157,Dead of Winter: A Crossroads Game,2014,42170,4.0,3.01
158,Horrified,2019,10706,3.0,2.04
159,The Resistance: Avalon,2012,29464,8.0,1.76
160,Magic: The Gathering,1993,35212,2.0,3.23
161,Viscounts of the West Kingdom,2020,6195,3.0,3.44
162,Railways of the World,2005,11522,5.0,3.02
163,Castles of Mad King Ludwig,2014,23506,4.0,2.66
164,Glen More II: Chronicles,2019,5596,3.0,3.05
165,Ora et Labora,2011,10262,3.0,3.89
166,Cosmic Encounter,2008,29400,5.0,2.58
167,A Game of Thrones: The Board Game (Second Edition),2011,30892,6.0,3.72
168,This War of Mine: The Board Game,2017,10360,1.0,3.29
169,Sagrada,2017,31871,2.0,1.93
170,Dinosaur Island,2017,13714,4.0,3.03
171,Sekigahara: The Unification of Japan,2011,4974,2.0,2.8
172,Commands & Colors: Ancients,2006,8236,2.0,2.69
173,Suburbia,2012,22843,3.0,2.77
174,Ticket to Ride: Nordic Countries,2007,12614,3.0,1.98
175,Calico,2020,10343,2.0,2.21
176,Tyrants of the Underdark,2016,6346,4.0,2.55
177,Near and Far,2017,8711,3.0,2.86
178,Village,2011,21471,4.0,3.07
179,Captain Sonar,2016,17941,8.0,2.18
180,War Chest,2018,6094,2.0,2.31
181,Combat Commander: Europe,2006,5640,2.0,3.25
182,Nations,2013,11616,4.0,3.54
183,Star Realms: Colony Wars,2015,6971,2.0,1.92
184,Coimbra,2018,10041,3.0,3.27
185,Detective: A Modern Crime Board Game,2018,8728,2.0,2.74
186,Undaunted: Normandy,2019,7071,2.0,2.24
187,Paths of Glory,1999,4749,2.0,3.84
188,Codenames: Duet,2017,17799,2.0,1.35
189,Splendor,2014,66934,3.0,1.79
190,Go(,2200,15763,2.0,3.94
191,Chronicles of Crime,2018,18139,2.0,2.08
192,Ra,1999,20025,4.0,2.35
193,Space Base,2018,12546,4.0,2.11
194,Dominion (Second Edition),2016,6325,3.0,2.16
195,La Granja,2014,9765,3.0,3.57
196,Tichu,1991,14095,4.0,2.34
197,Carcassonne,2000,111287,2.0,1.9
198,Ticket to Ride,2004,78058,4.0,1.84
199,T.I.M.E Stories,2015,25536,4.0,2.6
200,Under Falling Skies,2020,5995,1.0,2.46
201,Cyclades,2009,19282,5.0,2.82
202,Legendary: A Marvel Deck Building Game,2012,21072,3.0,2.44
203,Zombicide: Black Plague,2015,14078,3.0,2.5
204,Kanban: Driver's Edition,2014,6288,4.0,4.36
205,YINSH,2003,8020,2.0,2.68
206,Dune,2019,5294,6.0,3.97
207,Santorini,2016,32758,2.0,1.73
208,Secret Hitler,2016,21834,8.0,1.67
209,Terraforming Mars: Ares Expedition,2021,6960,3.0,2.91
210,MicroMacro: Crime City,2020,8391,2.0,1.13
211,Roll Player,2016,16491,3.0,2.41
212,Deception: Murder in Hong Kong,2014,18636,8.0,1.59
213,Century: Golem Edition,2017,9028,3.0,1.68
214,Goa,2004,11153,4.0,3.37
215,The Princes of Florence,2000,14859,5.0,3.25
216,Sushi Go Party!,2016,27095,5.0,1.31
217,Dwellings of Eldervale,2020,3508,3.0,3.23
218,Hanamikoji,2013,13758,2.0,1.72
219,Nidavellir,2020,7521,3.0,2.14
220,Flamme Rouge,2016,14494,4.0,1.69
221,Modern Art,1992,18668,5.0,2.3
222,Arcadia Quest,2014,9736,4.0,2.53
223,Hero Realms,2016,14507,2.0,1.89
224,Galaxy Trucker,2007,31504,4.0,2.33
225,Shogun,2006,13229,5.0,3.37
226,Isle of Skye: From Chieftain to King,2015,22562,4.0,2.24
227,Viticulture,2013,11549,4.0,2.93
228,Steam,2009,9837,4.0,3.46
229,1830: Railways & Robber Barons,1986,5081,5.0,4.16
230,Aeon's End: Legacy,2019,3751,2.0,2.84
231,Glory to Rome,2005,13417,4.0,2.93
